season,match_name,result,h_odd,d_odd,a_odd,home_team,away_team,home_score,away_score,winner
2006,West Ham vs Portsmouth,1-2,2.28,3.25,3.12,West Ham,Portsmouth,1,2,AWAY_TEAM
2006,Wigan vs Chelsea,2-3,8.67,4.24,1.4,Wigan,Chelsea,2,3,AWAY_TEAM
2006,Arsenal vs Blackburn,6-2,1.34,4.7,9.09,Arsenal,Blackburn,6,2,HOME_TEAM
2006,Aston Villa vs Manchester Utd,0-3,6.37,3.8,1.59,Aston Villa,Manchester Utd,0,3,AWAY_TEAM
2006,Liverpool vs Watford,2-0,1.2,5.83,15.0,Liverpool,Watford,2,0,HOME_TEAM
2006,Manchester City vs Bolton,0-2,2.35,3.2,3.0,Manchester City,Bolton,0,2,AWAY_TEAM
2006,Middlesbrough vs Charlton,2-0,1.69,3.45,5.25,Middlesbrough,Charlton,2,0,HOME_TEAM
2006,Newcastle vs Tottenham,3-1,2.43,3.2,2.9,Newcastle,Tottenham,3,1,HOME_TEAM
2006,Portsmouth vs Sheffield Utd,3-1,1.69,3.43,5.33,Portsmouth,Sheffield Utd,3,1,HOME_TEAM
2006,Reading vs Everton,0-2,2.23,3.22,3.15,Reading,Everton,0,2,AWAY_TEAM
2006,Fulham vs West Ham,0-0,2.45,3.22,2.83,Fulham,West Ham,0,0,DRAW
2006,Fulham vs Middlesbrough,2-1,2.24,3.23,3.27,Fulham,Middlesbrough,2,1,HOME_TEAM
2006,West Ham vs Manchester Utd,1-0,7.63,3.85,1.46,West Ham,Manchester Utd,1,0,HOME_TEAM
2006,Manchester City vs Tottenham,1-2,2.44,3.21,2.87,Manchester City,Tottenham,1,2,AWAY_TEAM
2006,Everton vs Chelsea,2-3,7.15,3.63,1.53,Everton,Chelsea,2,3,AWAY_TEAM
2006,Aston Villa vs Bolton,0-1,2.47,3.13,2.92,Aston Villa,Bolton,0,1,AWAY_TEAM
2006,Arsenal vs Portsmouth,2-2,1.4,4.22,8.58,Arsenal,Portsmouth,2,2,DRAW
2006,Newcastle vs Watford,2-1,1.63,3.48,5.97,Newcastle,Watford,2,1,HOME_TEAM
2006,Reading vs Blackburn,1-2,2.1,3.29,3.71,Reading,Blackburn,1,2,AWAY_TEAM
2006,Wigan vs Sheffield Utd,0-1,1.83,3.33,4.53,Wigan,Sheffield Utd,0,1,AWAY_TEAM
2006,Charlton vs Liverpool,0-3,6.08,3.68,1.58,Charlton,Liverpool,0,3,AWAY_TEAM
2006,Chelsea vs Newcastle,1-0,1.21,5.83,14.0,Chelsea,Newcastle,1,0,HOME_TEAM
2006,Wigan vs Arsenal,0-1,4.65,3.43,1.77,Wigan,Arsenal,0,1,AWAY_TEAM
2006,Sheffield Utd vs Aston Villa,2-2,2.78,3.1,2.58,Sheffield Utd,Aston Villa,2,2,DRAW
2006,Chelsea vs Arsenal,1-1,1.66,3.48,5.75,Chelsea,Arsenal,1,1,DRAW
2006,Bolton vs West Ham,4-0,1.77,3.36,4.73,Bolton,West Ham,4,0,HOME_TEAM
2006,Blackburn vs Newcastle,1-3,2.11,3.22,3.48,Blackburn,Newcastle,1,3,AWAY_TEAM
2006,Liverpool vs Fulham,4-0,1.29,4.85,10.92,Liverpool,Fulham,4,0,HOME_TEAM
2006,Middlesbrough vs Wigan,1-1,2.08,3.23,3.53,Middlesbrough,Wigan,1,1,DRAW
2006,Portsmouth vs Everton,2-0,2.15,3.17,3.45,Portsmouth,Everton,2,0,HOME_TEAM
2006,Tottenham vs Charlton,5-1,1.5,3.9,6.67,Tottenham,Charlton,5,1,HOME_TEAM
2006,Watford vs Reading,0-0,2.55,3.2,2.7,Watford,Reading,0,0,DRAW
2006,Manchester Utd vs Manchester City,3-1,1.35,4.51,9.21,Manchester Utd,Manchester City,3,1,HOME_TEAM
2006,Newcastle vs Reading,3-2,2.04,3.23,3.63,Newcastle,Reading,3,2,HOME_TEAM
2006,West Ham vs Wigan,0-2,1.98,3.27,3.8,West Ham,Wigan,0,2,AWAY_TEAM
2006,Charlton vs Blackburn,1-0,2.66,3.17,2.63,Charlton,Blackburn,1,0,HOME_TEAM
2006,Tottenham vs Middlesbrough,2-1,1.67,3.48,5.43,Tottenham,Middlesbrough,2,1,HOME_TEAM
2006,Manchester City vs Watford,0-0,1.53,3.63,6.92,Manchester City,Watford,0,0,DRAW
2006,Everton vs West Ham,2-0,1.99,3.21,3.86,Everton,West Ham,2,0,HOME_TEAM
2006,Middlesbrough vs Manchester Utd,1-2,5.93,3.68,1.59,Middlesbrough,Manchester Utd,1,2,AWAY_TEAM
2006,Blackburn vs Fulham,2-0,1.85,3.36,4.32,Blackburn,Fulham,2,0,HOME_TEAM
2006,Portsmouth vs Aston Villa,2-2,2.17,3.2,3.36,Portsmouth,Aston Villa,2,2,DRAW
2006,Reading vs Bolton,1-0,2.42,3.22,2.9,Reading,Bolton,1,0,HOME_TEAM
2006,Sheffield Utd vs Charlton,2-1,2.25,3.16,3.18,Sheffield Utd,Charlton,2,1,HOME_TEAM
2006,Wigan vs Liverpool,0-4,3.98,3.24,1.97,Wigan,Liverpool,0,4,AWAY_TEAM
2006,Arsenal vs Tottenham,3-0,1.7,3.47,5.23,Arsenal,Tottenham,3,0,HOME_TEAM
2006,Bolton vs Chelsea,0-1,5.59,3.49,1.65,Bolton,Chelsea,0,1,AWAY_TEAM
2006,Liverpool vs Portsmouth,0-0,1.4,4.16,8.44,Liverpool,Portsmouth,0,0,DRAW
2006,Manchester Utd vs Everton,3-0,1.3,4.85,10.19,Manchester Utd,Everton,3,0,HOME_TEAM
2006,Aston Villa vs Manchester City,1-3,2.07,3.14,3.63,Aston Villa,Manchester City,1,3,AWAY_TEAM
2006,Fulham vs Arsenal,2-1,6.82,3.68,1.52,Fulham,Arsenal,2,1,HOME_TEAM
2006,Watford vs Sheffield Utd,0-1,2.18,3.17,3.31,Watford,Sheffield Utd,0,1,AWAY_TEAM
2006,Manchester Utd vs Chelsea,1-1,2.54,3.07,2.97,Manchester Utd,Chelsea,1,1,DRAW
2006,Tottenham vs Wigan,3-1,1.76,3.39,4.72,Tottenham,Wigan,3,1,HOME_TEAM
2006,Newcastle vs Portsmouth,1-0,2.2,3.17,3.31,Newcastle,Portsmouth,1,0,HOME_TEAM
2006,Bolton vs Arsenal,3-1,3.44,3.24,2.12,Bolton,Arsenal,3,1,HOME_TEAM
2006,Aston Villa vs Middlesbrough,1-1,1.79,3.36,4.6,Aston Villa,Middlesbrough,1,1,DRAW
2006,Fulham vs Reading,0-1,2.26,3.26,3.09,Fulham,Reading,0,1,AWAY_TEAM
2006,Liverpool vs Manchester City,1-0,1.42,4.11,8.14,Liverpool,Manchester City,1,0,HOME_TEAM
2006,West Ham vs Sheffield Utd,1-0,1.72,3.44,4.93,West Ham,Sheffield Utd,1,0,HOME_TEAM
2006,Charlton vs Everton,1-1,2.67,3.19,2.6,Charlton,Everton,1,1,DRAW
2006,Blackburn vs Tottenham,1-1,2.47,3.22,2.83,Blackburn,Tottenham,1,1,DRAW
2006,Wigan vs Aston Villa,0-0,2.4,3.23,2.95,Wigan,Aston Villa,0,0,DRAW
2006,Middlesbrough vs Liverpool,0-0,3.73,3.25,2.01,Middlesbrough,Liverpool,0,0,DRAW
2006,Arsenal vs Newcastle,1-1,1.29,5.02,10.83,Arsenal,Newcastle,1,1,DRAW
2006,Chelsea vs West Ham,1-0,1.21,6.03,13.39,Chelsea,West Ham,1,0,HOME_TEAM
2006,Everton vs Bolton,1-0,2.29,3.19,3.09,Everton,Bolton,1,0,HOME_TEAM
