season,date,match_name,result,h_odd,d_odd,a_odd,source_file
2004/2005,Unknown,Newcastle vs Bolton,2-1,-110.0,225.0,286.0,2004-2005_full.csv
2004/2005,Unknown,Manchester Utd vs Portsmouth,2-1,-476.0,436.0,899.0,2004-2005_full.csv
2004/2005,Unknown,Aston Villa vs Everton,1-3,116.0,218.0,222.0,2004-2005_full.csv
2004/2005,Unknown,Crystal Palace vs Birmingham,2-0,158.0,216.0,162.0,2004-2005_full.csv
2004/2005,Unknown,Tottenham vs Fulham,2-0,-119.0,224.0,325.0,2004-2005_full.csv
2004/2005,Unknown,Southampton vs Arsenal,1-1,461.0,254.0,-169.0,2004-2005_full.csv
2004/2005,Unknown,West Brom vs Southampton,0-0,131.0,217.0,195.0,2004-2005_full.csv
2004/2005,Unknown,Arsenal vs Crystal Palace,5-1,-500.0,442.0,899.0,2004-2005_full.csv
2004/2005,Unknown,Manchester City vs Manchester Utd,0-2,359.0,231.0,-132.0,2004-2005_full.csv
2004/2005,Unknown,Bolton vs Middlesbrough,0-0,104.0,220.0,250.0,2004-2005_full.csv
2004/2005,Unknown,Birmingham vs Liverpool,2-0,214.0,220.0,119.0,2004-2005_full.csv
2004/2005,Unknown,Blackburn vs Norwich,3-0,-135.0,229.0,375.0,2004-2005_full.csv
2004/2005,Unknown,Portsmouth vs Aston Villa,1-2,127.0,218.0,200.0,2004-2005_full.csv
2004/2005,Unknown,Everton vs Chelsea,0-1,337.0,225.0,-123.0,2004-2005_full.csv
2004/2005,Unknown,Chelsea vs Manchester City,0-0,-400.0,421.0,866.0,2004-2005_full.csv
2004/2005,Unknown,Southampton vs Everton,2-2,152.0,217.0,165.0,2004-2005_full.csv
2004/2005,Unknown,Aston Villa vs Arsenal,1-3,305.0,235.0,-118.0,2004-2005_full.csv
2004/2005,Unknown,Liverpool vs Fulham,3-1,-222.0,284.0,652.0,2004-2005_full.csv
2004/2005,Unknown,Manchester Utd vs Birmingham,2-0,-400.0,413.0,877.0,2004-2005_full.csv
2004/2005,Unknown,Middlesbrough vs Blackburn,1-0,100.0,211.0,272.0,2004-2005_full.csv
2004/2005,Unknown,Newcastle vs Charlton,1-1,-128.0,235.0,343.0,2004-2005_full.csv
2004/2005,Unknown,Norwich vs West Brom,3-2,125.0,217.0,206.0,2004-2005_full.csv
2004/2005,Unknown,Tottenham vs Portsmouth,3-1,-141.0,239.0,378.0,2004-2005_full.csv
2004/2005,Unknown,Crystal Palace vs Bolton,0-1,156.0,219.0,158.0,2004-2005_full.csv
2004/2005,Unknown,Blackburn vs Chelsea,0-1,567.0,281.0,-208.0,2004-2005_full.csv
2004/2005,Unknown,Everton vs Norwich,1-0,-182.0,259.0,526.0,2004-2005_full.csv
2004/2005,Unknown,Birmingham vs Southampton,2-1,-112.0,224.0,296.0,2004-2005_full.csv
2004/2005,Unknown,Fulham vs Aston Villa,1-1,129.0,216.0,196.0,2004-2005_full.csv
2004/2005,Unknown,Manchester City vs Newcastle,1-1,135.0,217.0,188.0,2004-2005_full.csv
2004/2005,Unknown,Arsenal vs Manchester Utd,2-4,129.0,214.0,206.0,2004-2005_full.csv
2004/2005,Unknown,Bolton vs Tottenham,3-1,120.0,221.0,209.0,2004-2005_full.csv
2004/2005,Unknown,Charlton vs Liverpool,1-2,181.0,220.0,136.0,2004-2005_full.csv
2004/2005,Unknown,Portsmouth vs Middlesbrough,2-1,154.0,220.0,162.0,2004-2005_full.csv
2004/2005,Unknown,West Brom vs Crystal Palace,2-2,123.0,222.0,204.0,2004-2005_full.csv
2004/2005,Unknown,Blackburn vs Bolton,0-1,125.0,214.0,206.0,2004-2005_full.csv
2004/2005,Unknown,Arsenal vs Newcastle,1-0,-222.0,289.0,598.0,2004-2005_full.csv
2004/2005,Unknown,West Brom vs Manchester City,2-0,204.0,221.0,122.0,2004-2005_full.csv
2004/2005,Unknown,Birmingham vs Fulham,1-2,-110.0,220.0,295.0,2004-2005_full.csv
2004/2005,Unknown,Chelsea vs Portsmouth,3-0,-500.0,471.0,882.0,2004-2005_full.csv
2004/2005,Unknown,Crystal Palace vs Tottenham,3-0,204.0,225.0,121.0,2004-2005_full.csv
2004/2005,Unknown,Everton vs Charlton,0-1,-110.0,227.0,291.0,2004-2005_full.csv
2004/2005,Unknown,Manchester Utd vs Aston Villa,3-1,-303.0,348.0,781.0,2004-2005_full.csv
2004/2005,Unknown,Norwich vs Middlesbrough,4-4,200.0,220.0,125.0,2004-2005_full.csv
2004/2005,Unknown,Southampton vs Liverpool,2-0,343.0,229.0,-127.0,2004-2005_full.csv
2004/2005,Unknown,Fulham vs West Brom,1-0,-132.0,223.0,380.0,2004-2005_full.csv
2004/2005,Unknown,Middlesbrough vs Everton,1-1,-101.0,221.0,263.0,2004-2005_full.csv
2004/2005,Unknown,Bolton vs Arsenal,1-0,454.0,245.0,-164.0,2004-2005_full.csv
2004/2005,Unknown,Aston Villa vs Norwich,3-0,-152.0,239.0,430.0,2004-2005_full.csv
2004/2005,Unknown,Charlton vs Birmingham,3-1,114.0,213.0,231.0,2004-2005_full.csv
2004/2005,Unknown,Manchester City vs Crystal Palace,3-1,-159.0,243.0,433.0,2004-2005_full.csv
2004/2005,Unknown,Newcastle vs Southampton,2-1,-189.0,259.0,523.0,2004-2005_full.csv
2004/2005,Unknown,Portsmouth vs Blackburn,0-1,110.0,216.0,237.0,2004-2005_full.csv
2004/2005,Unknown,Tottenham vs Chelsea,0-2,309.0,229.0,-118.0,2004-2005_full.csv
2004/2005,Unknown,Liverpool vs Manchester Utd,0-1,167.0,210.0,173.0,2004-2005_full.csv
2004/2005,Unknown,Southampton vs Fulham,3-3,131.0,218.0,189.0,2004-2005_full.csv
2004/2005,Unknown,Everton vs Portsmouth,2-1,-128.0,225.0,357.0,2004-2005_full.csv
2004/2005,Unknown,Manchester Utd vs Tottenham,0-0,-250.0,305.0,650.0,2004-2005_full.csv
2004/2005,Unknown,Arsenal vs Manchester City,1-1,-370.0,367.0,883.0,2004-2005_full.csv
2004/2005,Unknown,Birmingham vs Bolton,1-2,-115.0,225.0,307.0,2004-2005_full.csv
2004/2005,Unknown,Chelsea vs Middlesbrough,2-0,-294.0,326.0,817.0,2004-2005_full.csv
2004/2005,Unknown,West Brom vs Newcastle,0-0,298.0,227.0,-118.0,2004-2005_full.csv
2004/2005,Unknown,Blackburn vs Charlton,1-0,123.0,221.0,204.0,2004-2005_full.csv
2004/2005,Unknown,Crystal Palace vs Aston Villa,2-0,173.0,213.0,143.0,2004-2005_full.csv
2004/2005,Unknown,Norwich vs Liverpool,1-2,450.0,242.0,-159.0,2004-2005_full.csv
2004/2005,Unknown,Middlesbrough vs Manchester Utd,0-2,252.0,222.0,100.0,2004-2005_full.csv
2004/2005,Unknown,Aston Villa vs Blackburn,1-0,-111.0,222.0,299.0,2004-2005_full.csv
2004/2005,Unknown,Bolton vs West Brom,1-1,-175.0,246.0,488.0,2004-2005_full.csv
2004/2005,Unknown,Charlton vs Arsenal,1-3,463.0,247.0,-167.0,2004-2005_full.csv
2004/2005,Unknown,Manchester City vs Southampton,2-1,-143.0,238.0,390.0,2004-2005_full.csv
2004/2005,Unknown,Newcastle vs Birmingham,2-1,-115.0,223.0,305.0,2004-2005_full.csv
2004/2005,Unknown,Portsmouth vs Norwich,1-1,-169.0,245.0,468.0,2004-2005_full.csv
2004/2005,Unknown,Tottenham vs Everton,5-2,118.0,215.0,218.0,2004-2005_full.csv
2004/2005,Unknown,Fulham vs Crystal Palace,3-1,-104.0,223.0,270.0,2004-2005_full.csv
2004/2005,Unknown,Liverpool vs Chelsea,0-1,200.0,217.0,125.0,2004-2005_full.csv
2004/2005,Unknown,Newcastle vs Arsenal,0-1,374.0,242.0,-141.0,2004-2005_full.csv
2004/2005,Unknown,Aston Villa vs Manchester Utd,0-1,354.0,243.0,-137.0,2004-2005_full.csv
2004/2005,Unknown,Liverpool vs Southampton,1-0,-323.0,330.0,886.0,2004-2005_full.csv
2004/2005,Unknown,Bolton vs Blackburn,0-1,-102.0,220.0,265.0,2004-2005_full.csv
2004/2005,Unknown,Charlton vs Everton,2-0,141.0,217.0,177.0,2004-2005_full.csv
2004/2005,Unknown,Fulham vs Birmingham,2-3,136.0,221.0,179.0,2004-2005_full.csv
2004/2005,Unknown,Manchester City vs West Brom,1-1,-227.0,285.0,635.0,2004-2005_full.csv
